tweet_cleaned,tweet,polarity
igaunij inficēšan covid atklāt cilvēk lietuv reģistrēt jaun covid gadījum,"Igaunijā inficēšanās ar Covid-19 atklāta vēl 647 cilvēkiem, Lietuvā reģistrēti 2376 jauni Covid-19 gadījumi https://t.co/mR5q4XejEc https://t.co/fzBvECkasQ",1
covid saslimstīb rādītāj turpin samazināti,"""Covid–19"" saslimstības rādītājs turpina samazināties https://t.co/TjmK24k1VQ",1
lietuv slimnīc pašlaik atrod covid pacient,Lietuvā slimnīcās pašlaik atrodas 1207 Covid-19 pacienti. https://t.co/b8NZmfOqJ4,1
aktuāl statistik covid pacient ārstēšan stacionār kop stacionār ārstēj covid pacient skait,"RT @VMNVD: 🏥 Aktuālā statistika par Covid-19 pacientu ārstēšanu stacionāros. Kopā stacionāros ārstējas 901 Covid-19 pacients, tajā skaitā 3…",1
aktuāl statistik covid pacient ārstēšan stacionār kop stacionār ārstēj covid pacient skait,"RT @VMNVD: 🏥 Aktuālā statistika par Covid-19 pacientu ārstēšanu stacionāros. Kopā stacionāros ārstējas 901 Covid-19 pacients, tajā skaitā 3…",1
sestdien konstatēt jaun covid inficēšan gadījum,Sestdien konstatēti 1137 jauni Covid-19 inficēšanās gadījumi https://t.co/1P9JbMPF1t https://t.co/kpYsN99LwT,1
kopum pēdēj diennakt laik stacionēt covid pacient,Kopumā pēdējās diennakts laikā tika stacionēti 64 Covid-19 pacienti. https://t.co/UfLgga6cT2,1
latvij atklāt jaun covid gadījum trī miruš,"Latvijā atklāti 1137 jauni Covid-19 gadījumi, trīs miruši https://t.co/XiLNz3moV6 https://t.co/SjY3TZAxTo",1
covid pavis igaunij miruš cilvēk,Ar Covid-19 pavisam Igaunijā miruši 2439 cilvēki. https://t.co/LiKdGVUqVA,1
atmest covid atkat,@BSFonds @pavluts @pavlust jau varēja atmest ko no Covid 19 atkata.,1
pēdēj laik veikt covid izmeklējum reģistrēt jaun inficēšan gadījum nevakcinēt,"RT @SPKCentrs: 📈 Pēdējo 24h laikā:
▫️veikts 3871 Covid-19 izmeklējums;
▫️reģistrēti 1137 jauni inficēšanās gadījumi, no tiem 330 nevakcinēt…",1
sestdien konstatēt jaun covid inficēšan gadījum,Sestdien konstatēti 1137 jauni Covid-19 inficēšanās gadījumi https://t.co/iFOr1vkzJg,1
sestdien konstatēt jaun covid inficēšan gadījum ziņot trim miruš,Sestdien konstatēti 1137 jauni Covid-19 inficēšanās gadījumi un ziņots par trim mirušajiem https://t.co/QxqlbkOpZA,1
aktuāl statistik covid pacient ārstēšan stacionār kop stacionār ārstēj covid pacient skait pamatdiagnoz vidēj smag slimīb gait smag slimīb gait jaun gadījum pēdēj laik izrakstīt,"🏥 Aktuālā statistika par Covid-19 pacientu ārstēšanu stacionāros. Kopā stacionāros ārstējas 901 Covid-19 pacients, tajā skaitā 395 ar pamatdiagnozi: 
🟠 ar vidēji smagu slimības gaitu - 366
🟠 ar smagu slimības gaitu - 29
Jauni gadījumi - 64. Pēdējo 24h laikā izrakstīti - 25.",0
latvij covid infekcij apstiprināt cilvēk,Latvijā Covid-19 infekcija apstiprināta vēl 1137 cilvēkiem https://t.co/Ce4UcQZJV2,1
pēdēj laik veikt covid izmeklējum reģistrēt jaun inficēšan gadījum nevakcinēt,"RT @SPKCentrs: 📈 Pēdējo 24h laikā:
▫️veikts 3871 Covid-19 izmeklējums;
▫️reģistrēti 1137 jauni inficēšanās gadījumi, no tiem 330 nevakcinēt…",1
vien miruš nevakcinēt vakcinācij kurs nepabeidz div cilvēk vakcinēt,Viens no mirušajiem bija nevakcinēts vai vakcinācijas kursu nepabeidzis un divi cilvēki vakcinēti. https://t.co/U3SRG8QQlX,1
kopum latvij miruš covid inficēt,Kopumā līdz šim Latvijā miruši 5560 ar Covid-19 inficētie. https://t.co/HrNWR55399,1
latvij reģistrēt jaun covid gadījum,Latvijā reģistrēti 1137 jauni Covid-19 gadījumi  https://t.co/kWiUyx6kGp,1
latvij reģistrēt jaun covid gadījum,Latvijā reģistrēti 1137 jauni Covid-19 gadījumi https://t.co/IXCqUikSlL,1
latvij covid infekcij apstiprināt cilvēk,Latvijā Covid-19 infekcija apstiprināta vēl 1137 cilvēkiem https://t.co/1TcOCLgR0G,1
latvij covid infekcij apstiprināt cilvēk,Latvijā Covid-19 infekcija apstiprināta vēl 1137 cilvēkiem  https://t.co/W9mof0RRKX,1
aizvadīt diennakt latvij konstatēt jaun covid gadījum cilvēk miruš,"RT Aizvadītajā diennaktī Latvijā konstatēti 1137 jauni Covid-19 gadījumi, 3 cilvēki miruši; https://t.co/YVVihEmDk7",1
pēdēj laik veikt covid izmeklējum reģistrēt jaun inficēšan gadījum nevakcinēt,"RT @SPKCentrs: 📈 Pēdējo 24h laikā:
▫️veikts 3871 Covid-19 izmeklējums;
▫️reģistrēti 1137 jauni inficēšanās gadījumi, no tiem 330 nevakcinēt…",1
pozitīv gadījum īpatsvar testēt dien kumulatīv rādītāj iedzīvotāj latv,"RT @SPKCentrs: ☑️Pozitīvo gadījumu īpatsvars pret testētajiem: 29.4%
☑️14 dienu kumulatīvais rādītājs uz 100 000 iedzīvotāju: 2550.4
Latvij…",1
latvij reģistrēt jaun covid gadījum,Latvijā reģistrēti 1137 jauni Covid-19 gadījumi https://t.co/jrLwdXE0TR,1
pozitīv gadījum īpatsvar testēt dien kumulatīv rādītāj iedzīvotāj latvij covid kopum inficējuši cilvēk,"☑️Pozitīvo gadījumu īpatsvars pret testētajiem: 29.4%
☑️14 dienu kumulatīvais rādītājs uz 100 000 iedzīvotāju: 2550.4
Latvijā ar Covid-19 kopumā inficējušies 790 620 cilvēki.",1
pēdēj laik veikt covid izmeklējum reģistrēt jaun inficēšan gadījum nevakcinēt vakcinācij kurs nepabeiguš vakcinēt,"📈 Pēdējo 24h laikā:
▫️veikts 3871 Covid-19 izmeklējums;
▫️reģistrēti 1137 jauni inficēšanās gadījumi, no tiem 330 nevakcinēti vai vakcinācijas kursu nepabeiguši, 807 vakcinēti;",1
briģ nevar paredzēt ruden gaidām jaun covid paveid jebkur brīd vīrus mutēt,"Briģis: Nevar paredzēt, vai rudenī ir gaidāms jauns Covid-19 paveids, jo jebkurā brīdī vīruss var mutēt https://t.co/0b7Qf7hyaa https://t.co/uM1eCxzGpT",1
dienvidaustrālij reģistr septin nāv gadījum covid dien cieš kontakt noteikum atvieglošan,"Dienvidaustrālija reģistrē septiņus nāves gadījumus no Covid-19, dienu pēc cieša kontakta noteikumu atvieglošanas https://t.co/4fwFrDS6Rf",0
briģ nevar paredzēt ruden gaidām jaun covid paveid,"Briģis: Nevar paredzēt, vai rudenī ir gaidāms jauns Covid-19 paveids  https://t.co/S3rEFW0bLq",1
nevar paredzēt ruden gaidām jaun covid paveid,"""Nevar paredzēt, vai rudenī ir gaidāms kāds jauns Covid-19 paveids."" https://t.co/T37pUyh4XA",1
briģ nevar paredzēt ruden gaidām jaun covid paveid,"Briģis: Nevar paredzēt, vai rudenī ir gaidāms jauns Covid-19 paveids https://t.co/oiHhDS3BSH",1
briģ nevar paredzēt ruden gaidām jaun covid paveid,"Briģis: Nevar paredzēt, vai rudenī ir gaidāms jauns Covid-19 paveids https://t.co/tGeszFhP6U",1
delf tv jān dombur atklāj covid vakcīn blakn izvēr via,'Delfi TV ar Jāni Domburu': 'Ko (ne)atklāj Covid-19 vakcīnu blakņu izvēr... https://t.co/fYc89A9o8y via @YouTube,1
latvij slimnīc kopum ārstēj covid pacient,Latvijas slimnīcās kopumā ārstējas 872 Covid-19 pacientu https://t.co/htW1Fcpbis https://t.co/NZ6x0ZSu9l,1
ok apskatīj kar ukrain izprovocēj globālist dal izrād pirm cēlien covid afēr jāgaid nākoš,"@Kilkuts @KrisjaLV @AndzejMic Ok, apskatījos. Karu Ukrainā izprovocēja globālisti, tā ir daļa no izrādes, kuras pirmais cēliens bija Covid-19 afēra, esot jāgaida nākošie.",1
covid pazud ukrain bēgl pārvietošan objektīv latvieš nevajadzīg čupošan muļķīg kriev,"RT @ainarsbr11: Covid nekur nav pazudis. Ja ukraiņu bēgļu pārvietošanās ir objektīva, latviešu nevajadzīga čupošanās- muļķīga, tad krievu m…",1
aizvadīt diennakt latvij slimnīc esoš covid pacient skait samazināji liecin nacionāl veselīb dienest apkopot informācij,"Aizvadītajā diennaktī Latvijas slimnīcās esošo Covid-19 pacientu skaits samazinājies no 956 līdz 872, liecina Nacionālā veselības dienesta apkopotā informācija. https://t.co/Zk6EUdouB1",1
pieminēt otrdien mart veikt covid test reģistrēt jaun inficēšan gadījum,"@auzaans @ltvzinas pieminētajā otrdienā, 22. martā — “veikti 11 805 Covid-19 testi un reģistrēti 4811 jauni inficēšanās gadījumi”",1
covid pacient skait latvij slimnīc samazināji,Covid-19 pacientu skaits Latvijas slimnīcās samazinājies līdz 872 https://t.co/m3U8DBPRTt,1
latvij slimnīc ārstēj covid pacient,RT @DelfiLV Latvijas slimnīcās ārstējas 872 Covid-19 pacienti  https://t.co/HJXwsAI9Sm,1
noskaidrot kur novad visvairāk covid saslimuš,"Noskaidrots, kuros novados ir visvairāk ar Covid-19 saslimušie https://t.co/MhBVpGLB62 https://t.co/ibAx9Gms3x",1
piektdien latvij covid infekcij apstiprināt cilvēk,RT @DelfiLV Piektdien Latvijā Covid-19 infekcija apstiprināta 2509 cilvēkiem  https://t.co/era1ceaS9r,1
latvij slimnīc ārstēj covid pacient,Latvijas slimnīcās ārstējas 872 Covid-19 pacienti https://t.co/FWlXyziUSS,1
latvij slimnīc ārstēj covid pacient,Latvijas slimnīcās ārstējas 872 Covid-19 pacienti  https://t.co/n2cFNFjvEF,1
šodien aptuven pārtraukum atgriezi kurs biedr latvij universitāt akadēmisk centr pildīt nepieciešam augstskol uzdevum galv kūp patīkam beidzot diskutēt klātien lūgum covid neatņem priek vēlreiz,"Šodien aptuveni pēc 2 gadu pārtraukuma esmu atgriezies ar kursa biedriem Latvijas Universitātes Akadēmiskajā centrā, lai pildītu nepieciešamos augstskolas uzdevumus. Galva kūp, bet patīkami beidzot diskutēt klātienē! Lūgums Covid - 19 neatņem šo prieku vēlreiz! :)",1
