tweet_cleaned,tweet,polarity
tagad domāj labprāt dzirdēt spān cenšami izrunāt vārd gobzem,"@IvetaBuike @AnsisEgle Tagad domāju, ka labprāt dzirdētu spāņus cenšamies izrunāt vārdu Gobzems :D",1
vienkārš gobzem atbrīvoj viet tagad klaun skrien grūst stāsi viet,"@LStabinge Vienkārši gobzems atbrīvoja vietu, tagad klauni skrien un grūstās par to, kurš stāsies vietā.🤡🤷‍♀️",1
gobzem šarij laik tīr lab sanāk,@juransj @AnsisEgle Gobzems un Šarija viņiem laikam tīri labi sanāk. :),1
gobzem beidzi drīzāk,@GirtsTrekters Gobzems beidzies. Drīzāk jau ka diemžēl.,1
vajadzēt iedot papētīt liet chekist rezultāt nojaušam lielāk spieg gobzem spriņģ vajātāj ūdensvīr antivexer,"@DievaSuni @realNepareizais Vajadzētu iedot papētīt to lietu Re:Chekistiem😃rezultāts ir nojaušams.Lielākie spiegi Gobzems,tas I.Spriņģes vajātājs,ūdensvīrs,antivexeri.😂😂",1
gobzem klus,@baltaisruncis Kāpēc Gobzems par šo klusē?,1
zin diplom papīr apliecinājum cilvēk mācīji spilgt piemēr ald gobzem jurist diplom,"@jenuufa @lastguru_net Kā zinām, tad diplomi un citi papīri ir tikai apliecinājums, ka cilvēks kaut kur kaut ko ir mācījies. Spilgts piemērs ir Aldis Gobzems, kuram ir jurista diploms.",1
gobzem instagram rakst skol spānij lētāk rīg pateik vairum bērn rīg apmekl bezmaks skol,"RT @santa_be: Gobzems instagramā raksta, ka skola Spānijā lētāka kā Rīgā. Kurš viņam pateiks, ka vairums bērnu Rīgā apmeklē bezmaksas skola…",1
gobzem instagram rakst skol spānij lētāk rīg pateik vairum bērn rīg apmekl bezmaks skol,"RT @santa_be: Gobzems instagramā raksta, ka skola Spānijā lētāka kā Rīgā. Kurš viņam pateiks, ka vairums bērnu Rīgā apmeklē bezmaksas skola…",1
ag ald gobzem,@Sildniks @Kilkuts @KrisjaLV @AndzejMic Kas ir AG? Aldis Gobzems?,1
putin vien prob prokremlisk impereālist gobzem premjer apspriežam kandidāt jlatvij grib saglabāt izvēlēti līg,"@mvanags Nē. Ne jau Putins viens ir proba, bet prokremliskie impereālisti.
Gobzems kā premjers vispār nav apspriežams kandidāts, jLatviju gribam saglabāt.
Mums ir no kā izvēlēties - @krisjaniskarins @edgarsrinkevics @Pabriks u.c. ir no citas līgas.",1
jap jap hail pūķin gobzem vietniek zem virs,@Daavidinsh @normis Jap jap. Hail pūķins un gobzems-viņa vietnieks zemes virsū.,1
gobzem nevar izņemot teikt,"@mvanags Nē nu jā. Bet Gobzems vispār neko nevar, izņemot teikt ko var!",1
atbalstīt putin beigt gobzem pār mēneš pm amat iznīcināj līdzīg repš tizlāk,"@mvanags @Sarmite_Kolate Es atbalstītu, jo Putins būtu beigts, bet Gobzems pēc pāris mēnešiem PM amatā pats sevi būtu iznīcinājis, līdzīgi kā Repše, tikai vēl tizlāk.",1
gobzem solīt atbalstīt solît novākt puķin izdarīt izlikt nezin,"@mvanags @NKristopane Es būtu kā Gobzems. Es solītu viņu atbalstīt , ja vins solîtu novākt puķinu, bet, kad vins to izdarītu, es izliktos, ka neko nezinām",1
īpaš apdāvināt ļautin neaizrauj politisk domāšan komentār salīd preventīv šobrīd man acī teiks gobzem šleser nolaiduši daudz daudz zemāk nil,"@KPitkevica Es ne par Tevi, es par īpaši apdāvinātajiem ļautiņiem, kas neaizraujas ar politisko domāšanu, kas te komentāros salīdīs. Preventīvi. Šobrīd manās acīs teiksim Gobzems un Šlesers ir nolaidušies daudz, daudz zemāk par Nilu.",1
jāatrod sarakst atvilkn papīr mētāj gobzem emigrēj māj netik novērot intensīv skursten kūpēšan krievij vēstniecīb diplomāt izraidīšan,"@Palkavnieks @didzvein Jāatrod kāda sarakste. Varbūt kādā atvilknē vēl kāds papīrs kaut kur mētājas... 

Pirms Gobzems emigrēja, vai pie viņa mājas netika novērota intensīva skursteņa kūpēšana kā Krievijas vēstniecībās pirms diplomātu izraidīšanas? 
https://t.co/vXCv1mKXzJ",1
gobzem instagram rakst skol spānij lētāk rīg pateik vairum bērn rīg apmekl bezmaks skol,"RT @santa_be: Gobzems instagramā raksta, ka skola Spānijā lētāka kā Rīgā. Kurš viņam pateiks, ka vairums bērnu Rīgā apmeklē bezmaksas skola…",1
diskusij ungārij latvij vesel virkn balt zirg solītāj šleser gobzem reiting pretend barjer pārvarēšan,"@Justrips @VentsAKrauklis Nē,diskusija bija par Ungāriju. Bet Latvijā taču ir vesela virkne baltā zirga solītāji-Šlesers un Gobzems pat pēc reitingiem pretendē uz 5% barjeras pārvarēšanu.",1
cien kariņ domāj kadr palikuš daudz liet nokārtot komunikācij spēj cer demokrātisk iekārt tād slied vien cilvēk šleser gobzem vair nevar liel mainīt atšķirīb režīm,"@RonkaKristine @ltvzinas Visu cieņu Kariņam. Domāju, ka aiz kadra ir palikušas daudzas lietas, kuras ir nokārtotas viņa komunikāciju spēju dēļ, bet, ceru, ka mūsu demokrātiskā iekārta jau ir uz tādām sliedēm, ka viens cilvēks (Šlesers vai Gobzems) to vairs nevar ""pa lielam"" mainīt. Atšķirībā no režīmiem",1
vajadzēj svilpot patiesīb gobzem aizbrauc latvij,"«Kas, man vajadzēja svilpot?» Visa patiesība, kāpēc Gobzems aizbrauca no Latvijas https://t.co/muSxUyTEZ2",1
salīdzināj ušakov cilvēk intelekt ziņ gobzem pagrab,"@ArtursCinins @kasparszellis Salīdzināji. Lai,kas būtu Ušakovs,kā cilvēks. Intelekta ziņā Gobzems ir pagrabā.",1
ceram ald paņēm līdz medikament gad atpakaļ šķit vesel traumēt vien vairāk cit mazāk skaidr vien gobzem aizlidoj,"@santa_be Cerams, ka Aldis paņēmis līdzi medikamentus. Gadus 10 atpakaļ vēl šķita vesels... lai gan mēs visi te tādi traumēti, viens vairāk, cits mazāk. Skaidrs ir viens - Gobzems ir aizlidojos🦃",1
gobzem oligarh latvieš,@santa_be Kas ir Gobzems ? Kaut kāds oligarhs latviešu?,1
gobzem instagram rakst skol spānij lētāk rīg pateik vairum bērn rīg apmekl bezmaks skol,"RT @santa_be: Gobzems instagramā raksta, ka skola Spānijā lētāka kā Rīgā. Kurš viņam pateiks, ka vairums bērnu Rīgā apmeklē bezmaksas skola…",1
gobzem instagram rakst skol spānij lētāk rīg pateik vairum bērn rīg apmekl bezmaks skol,"RT @santa_be: Gobzems instagramā raksta, ka skola Spānijā lētāka kā Rīgā. Kurš viņam pateiks, ka vairums bērnu Rīgā apmeklē bezmaksas skola…",1
gobzem instagram rakst skol spānij lētāk rīg pateik vairum bērn rīg apmekl bezmaks skol,"RT @santa_be: Gobzems instagramā raksta, ka skola Spānijā lētāka kā Rīgā. Kurš viņam pateiks, ka vairums bērnu Rīgā apmeklē bezmaksas skola…",1
skatami fundamentāl skatpunkt slikt noformulēt medij cenzūr likum izmantot slikt mērķ valdīb darb politisk virzīb apmierin oke likum izmantot piemēr gobzem daudz diezv priecīg,"@polittehnologs @janis_sarts Ja mēs skatamies no fundamentāla skatpunkta, tad slikti noformulēts mediju cenzūras likums var tikt izmantots arī sliktiem mērķiem. Kamēr valdības darbs un politiskā virzība apmierina, viss okei. Ja šo pašu likumu izmantotu piemēram Gobzems, tad daudzi būtu diezvai priecīgi 1/2",1
šodien gobzem ieraug nopublicēj gt izlas zin stulb izklaidējoš neloģisk,"@aicisakk @GirtsTrekters Ne tikai šodien. Man viņš ir kā Gobzems: ieraugu ka šis ko nopublicējis -&gt; izlasu, jo zinu ka būs kaut kas stulbi izklaidējošs vai neloģisks.",0
gobzem instagram rakst skol spānij lētāk rīg pateik vairum bērn rīg apmekl bezmaks skol,"RT @santa_be: Gobzems instagramā raksta, ka skola Spānijā lētāka kā Rīgā. Kurš viņam pateiks, ka vairums bērnu Rīgā apmeklē bezmaksas skola…",1
gobzem instagram rakst skol spānij lētāk rīg pateik vairum bērn rīg apmekl bezmaks skol,"RT @santa_be: Gobzems instagramā raksta, ka skola Spānijā lētāka kā Rīgā. Kurš viņam pateiks, ka vairums bērnu Rīgā apmeklē bezmaksas skola…",1
gobzem instagram rakst skol spānij lētāk rīg pateik vairum bērn rīg apmekl bezmaks skol,"RT @santa_be: Gobzems instagramā raksta, ka skola Spānijā lētāka kā Rīgā. Kurš viņam pateiks, ka vairums bērnu Rīgā apmeklē bezmaksas skola…",1
gobzem instagram rakst skol spānij lētāk rīg pateik vairum bērn rīg apmekl bezmaks skol,"RT @santa_be: Gobzems instagramā raksta, ka skola Spānijā lētāka kā Rīgā. Kurš viņam pateiks, ka vairums bērnu Rīgā apmeklē bezmaksas skola…",1
run politiķ vērtīb konsekvenc spēj mest kažok rubik vienmēr palik komunist pūc bondar ušakov pasarg die gobzem,"@Feita @DaceGrietina @polittehnologs Runa ir par to, kas ir politiķa vērtība - konsekvence, vai spēja mest kažoku? Rubiks vienmēr būs un paliks komunists. Kas ir Pūce? Vai kas ir Bondars, Ušakovs utt? Vai kas ir, pasarg Dies’, Gobzems?",1
