tweet_cleaned,tweet,polarity
nenosodīj kar ukrain neatcer nosodījuš krim okupēšan pilnīg noteikt nenosodīj putin režīm tieš pretēj teic politik nerun turpin pelnīt naud koncert krievij militār festivāl,"@JaroslavsP Pirms tam (tas ir kopš 2014.g.) viņi nenosodīja karu Ukrainā, neatceros, ka būtu nosodījuši Krimas okupēšanu, pilnīgi noteikti nenosodīja putina režīmu. Tieši pretēji - teica, ka par politiku nerunās un turpinās pelnīt naudu koncertos Krievijā, arī militāros festivālos.",1
vakar krievij okupant braucot tank apzināt uzbrauc virs ģimen gāj cel boj gāj ģimen tēv,"RT @breakinglv: Vakar #krievija okupanti braucot ar tanku apzināti uzbrauca virsū ģimenei, kura gāja pa ceļu. Bojā gāja ģimenes tēvs. Viņa…",0
decathlon veikal lab nenes kāj virzien darbiniek labāk darb devēj atr,"RT @normundsbergs: Decathlon veikals labs, bet nu nenesīs mani kājas tajā virzienā. Varbūt arī darbinieki var kādu labāku darba devēju atra…",1
zelensk pateic konkrēt gribat skol kriev valod privāt gadījum skait,"RT @irts1: Zelenskis pateica konkrēti, ja gribat skolas krievu valodā, tad tikai privātās un arī tikai tādā gadījumā, ja tāds pats skaits s…",1
zelensk pateic konkrēt gribat skol kriev valod privāt gadījum skait,"RT @irts1: Zelenskis pateica konkrēti, ja gribat skolas krievu valodā, tad tikai privātās un arī tikai tādā gadījumā, ja tāds pats skaits s…",1
pēdēj pilien krievij eksistenc,"RT @CardinalisRavus: Tas arī būs pēdējais piliens Krievijas eksistencei. 
https://t.co/6NszOIvvGu",1
piekrīt krievij bagāt valst norvēģij viet paveikus,"RT @aiga_balode: Piekrītu @AndrisKulbergs - Krievija varēja būt bagāta valsts kā Norvēģija, bet tā vietā ir šis, un to visu paveikusi tikai…",1
ecc turpin strādāt krievij,RT @Laura51365720: @normundsbergs Ecco arī turpina strādāt Krievijā https://t.co/N2TfYnGj9m,1
decathlon veikal lab nenes kāj virzien darbiniek labāk darb devēj atr,"RT @normundsbergs: Decathlon veikals labs, bet nu nenesīs mani kājas tajā virzienā. Varbūt arī darbinieki var kādu labāku darba devēju atra…",1
sagatavoj jaun bezmaks nodarbīb propagand kar ukrain nodarbīb skolēn runās,"RT @okupacijas_muz: @okupacijas_muz ir sagatavojis jaunu bezmaksas nodarbību “Propaganda. Karš Ukrainā.”🇺🇦
📌Nodarbībā ar skolēniem runāsim…",1
šodien latvij lietuv igaunij piemin komunist īstenot mas deportācij upur desmit tūkstoš nevainīg cilv,"RT @edgarsrinkevics: Šodien Latvijā, Lietuvā, Igaunijā piemin komunistu īstenoto masu deportāciju upurus, desmitiem tūkstošu nevainīgu cilv…",1
daudz nesaprot krievij beidz pastāvēt gad kriev taut viet gad radīt padom būtn,"RT @Prusis: @Borovkovs Daudzi nesaprot, ka Krievija beidza pastāvēt 1917.gadā, bet krievu tautas vietā 70 gados radītas padomju būtnes, kas…",1
pasak krievij zaudēt,"@alieninwig @brjuhovecka @Apvaarsnis Pasaki, kā Krievija var zaudēt?",1
dal tranzīt strādājoš uzskat alg maks krievij darbaviet,"@GirtsKarnitis @Talis_L Daļa no tranzītā strādājošajiem uzskata, ka viņiem algu maksā Krievija nevis darbavieta",1
zelensk pateic konkrēt gribat skol kriev valod privāt gadījum skait,"RT @irts1: Zelenskis pateica konkrēti, ja gribat skolas krievu valodā, tad tikai privātās un arī tikai tādā gadījumā, ja tāds pats skaits s…",1
iedzīvotāj enerhodar zaporižj ukrain protest krievij okupant iebrukum,Iedzīvotāji #Enerhodara #Zaporižja #Ukraina protestē pret #krievija okupantu iebrukumu. https://t.co/b25u5mP4o4,0
varēt nesen krievij prāt izkūkoj tantuk lūdz kaimin nebarot balož bio ieroc ukrain cilvēk psihisk saslimšan vienkārš nevar izturēt slodz sāk sviest,"@OfmaneSabine @dzeina Varētu būt ka ir, jo nesen Krievijā prātu izkūkojis tantuks lūdza kaimiņus nebarot baložus, jo tie ir bio-ieroči no Ukrainas. Ir cilvēki ar psihiskām saslimšanām, kuri vienkārši nevar izturēt šo slodzi un sākas sviests.",1
abām karojoš pus zaudējum neskatoti liel upur skait krievij dosi mērķ pauž nbs pārstāv,"RT @DelfiLV: Abām karojošajām pusēm ir zaudējumi, bet, neskatoties uz lielo upuru skaitu, Krievija dosies uz savu mērķi, pauž NBS pārstāvis…",1
heineken krievij nodarbināj cilvēk valst treš lielāk alu ražotāj,"""Heineken"" Krievijā līdz šim nodarbināja 1800 cilvēku un bija valstī trešais lielākais alus ražotājs. 
https://t.co/Mf8XT0eGXb",1
abām karojoš pus zaudējum neskatoti liel upur skait krievij dosi mērķ pauž nbs pārstāv jān slaidiņ piln spriedardelf skati,"Abām karojošajām pusēm ir zaudējumi, bet, neskatoties uz lielo upuru skaitu, Krievija dosies uz savu mērķi, pauž NBS pārstāvis Jānis Slaidiņš.

Pilnu #SpriedArDelfi skaties šeit: https://t.co/juvGLFbkrp https://t.co/p9uxie4k2q",1
cilvēk pasaul pastāv cerīb režīm main krievij putin ēra beig ģenerālsekretār sigit strub,"RT @TV3zinas: Cilvēkiem pasaulē pastāv cerība uz režīma maiņu Krievijā pēc Putina ēras beigām, tomēr @LATO_LV ģenerālsekretāre Sigita Strub…",1
pēdēj pilien krievij eksistenc,"Tas arī būs pēdējais piliens Krievijas eksistencei. 
https://t.co/6NszOIvvGu",1
krievij okupant izpostīt irpin kijev apgabal ukrain,#krievija okupantu izpostītā #Irpiņa #Kijeva apgabalā #Ukraina. https://t.co/ntTx79vX0Q,0
decathlon veikal lab nenes kāj virzien darbiniek labāk darb devēj atr,"RT @normundsbergs: Decathlon veikals labs, bet nu nenesīs mani kājas tajā virzienā. Varbūt arī darbinieki var kādu labāku darba devēju atra…",1
decathlon veikal lab nenes kāj virzien darbiniek labāk darb devēj atr,"RT @normundsbergs: Decathlon veikals labs, bet nu nenesīs mani kājas tajā virzienā. Varbūt arī darbinieki var kādu labāku darba devēju atra…",1
decathlon veikal lab nenes kāj virzien darbiniek labāk darb devēj atr,"RT @normundsbergs: Decathlon veikals labs, bet nu nenesīs mani kājas tajā virzienā. Varbūt arī darbinieki var kādu labāku darba devēju atra…",1
zelensk pateic konkrēt gribat skol kriev valod privāt gadījum skait,"RT @irts1: Zelenskis pateica konkrēti, ja gribat skolas krievu valodā, tad tikai privātās un arī tikai tādā gadījumā, ja tāds pats skaits s…",1
neuzņemot riskēj sabiedrot dzīvīb meduz rīg virkn krievij pilson krievij izsekot draudēt loģik politisk bēgl vietēj vat div dažād problēm,"@kkkrlvvv @JanisIesalnieks Neuzņemot nevienu, mēs riskējam ar sabiedroto dzīvībām. Meduza ir Rīgā un virkne ir Krievijas pilsoņi, kuri Krievijā tika izsekoti un viņiem tika draudēts. Kur loģika? Politiskie bēgļi un vietējā vate ir divas dažādas problēmas.",1
zelensk pateic konkrēt gribat skol kriev valod privāt gadījum skait,"RT @irts1: Zelenskis pateica konkrēti, ja gribat skolas krievu valodā, tad tikai privātās un arī tikai tādā gadījumā, ja tāds pats skaits s…",1
zelensk pateic konkrēt gribat skol kriev valod privāt gadījum skait,"RT @irts1: Zelenskis pateica konkrēti, ja gribat skolas krievu valodā, tad tikai privātās un arī tikai tādā gadījumā, ja tāds pats skaits s…",1
krievij valst neaizskar krievij interes zin sam,"@JeanneDielman_ Lūk, Krievija. Neviena valsts neaizskars Krievijas “intereses”. Un viņa zina, kāpēc. Same.",1
decathlon veikal lab nenes kāj virzien darbiniek labāk darb devēj atr,"RT @normundsbergs: Decathlon veikals labs, bet nu nenesīs mani kājas tajā virzienā. Varbūt arī darbinieki var kādu labāku darba devēju atra…",1
ukrain armij notriekt krievij okupant helikopter,#Ukraina armija notriektais #krievija okupantu helikopters. https://t.co/Y3wM2vT2JW,0
vakar krievij okupant braucot tank apzināt uzbrauc virs ģimen gāj cel boj gāj ģimen tēv siev gad vec dēl guv smag ievainojum fot ilustratīv,"Vakar #krievija okupanti braucot ar tanku apzināti uzbrauca virsū ģimenei, kura gāja pa ceļu. Bojā gāja ģimenes tēvs. Viņa sieva un 15 gadus vecs dēls guva smagus ievainojumus. (foto ilustratīvs) https://t.co/6sb0RCJvCl",0
decathlon veikal lab nenes kāj virzien darbiniek labāk darb devēj atr,"RT @normundsbergs: Decathlon veikals labs, bet nu nenesīs mani kājas tajā virzienā. Varbūt arī darbinieki var kādu labāku darba devēju atra…",1
zelensk pateic konkrēt gribat skol kriev valod privāt gadījum skait,"RT @irts1: Zelenskis pateica konkrēti, ja gribat skolas krievu valodā, tad tikai privātās un arī tikai tādā gadījumā, ja tāds pats skaits s…",1
ukrain karaspēk vadīb vēst krievij karaspēk zaudēj karavīr krievij atzinus daudz mazāk zaudējum pagājušonedēļ paziņot ukrain gāj boj krievij karavīr,"Ukrainas karaspēka vadība vēsta, ka Krievijas karaspēks zaudējis jau ap 17 000 karavīru. Krievija ir atzinusi daudz mazākus zaudējumus. Pagājušonedēļ tika paziņots, ka Ukrainā gājis bojā 1351 Krievijas karavīrs.",1
zelensk pateic konkrēt gribat skol kriev valod privāt gadījum skait,"RT @irts1: Zelenskis pateica konkrēti, ja gribat skolas krievu valodā, tad tikai privātās un arī tikai tādā gadījumā, ja tāds pats skaits s…",1
decathlon veikal lab nenes kāj virzien darbiniek labāk darb devēj atr,"RT @normundsbergs: Decathlon veikals labs, bet nu nenesīs mani kājas tajā virzienā. Varbūt arī darbinieki var kādu labāku darba devēju atra…",1
cer krievij iespējam taut sacelšan tamlīdzīg,"Ja kāds vēl cer, ka Krievijā iespējama tautas sacelšanās vai kas tamlīdzīgs. https://t.co/l1fWvePsR1",1
viedokl paud bellingcat vadītāj krist grozev,"Šādu viedokli paudis ""Bellingcat"" vadītājs Kristo Grozevs. https://t.co/mTdQhp58bo",1
brīvdab muzej kop ļeninekl skaidrojum krievij nodarījus vēstur gait,"@ArmandsPiebalgs Kādā brīvdabas muzejā kopā ar ļeninekļiem un skaidrojumu, ko Krievija ir nodarījusi vēstures gaitā.",1
krievij sazagt naud eirop tērēt labum,@ms_logina @alise_paberza Krievijā var sazagt naudu Eiropā tērēt tas arī labums,1
zelensk pateic konkrēt gribat skol kriev valod privāt gadījum skait,"RT @irts1: Zelenskis pateica konkrēti, ja gribat skolas krievu valodā, tad tikai privātās un arī tikai tādā gadījumā, ja tāds pats skaits s…",1
argument līdzīg dom krievij nemainīsi muk ārzem noprot uztrauc dod valst cukur rind neuztrauc ukrain cilvēk iet boj ikdien,"@DanaKruu Mans arguments ir līdzīgs, kā @navalny domā, ka Krievijā nekas nemainīsies, ja visi tikai muks uz ārzemēm. 
Cik es noprotu, tad jums uztrauc tie, kuri dodas uz valsti, kur var tikt pie cukura bez rindas, bet neuztrauc, ka Ukrainā cilvēki iet bojā ikdienu!?",1
ukrain armij dron palīdzīb iznīcin krievij okupant bruņutransportier,#Ukraina armija ar dronu palīdzību iznīcina #krievija okupantu bruņutransportierus. https://t.co/UVVfQLfNNS,0
laik krievij veic kaŗ noziegum valst ieviesuš sankcij krievij latvij jānovāc pieminekl,"RT @e_alma: Laikā, kad Krievija veic kaŗa noziegumus, un valstis ir ieviesušas sankcijas pret Krieviju, Latvijā ir jānovāc visi pieminekļi,…",1
prāt vētr tagad krievij dzied ukrainisk ukrain karog fon,RT @R_Medne: A Prāta vētra tagad krievijā ar dziedās ukrainiski uz ukraiņu karoga fona?,1
krievij okupant izpostīt irpin kijev apgabal ukrain,RT @breakinglv: #krievija okupantu izpostīta #Irpiņa #Kijeva apgabalā #Ukraina. https://t.co/SBg7hwO9xi,0
turcij viltīg vāj krievij spēcīg musulman pozīcij reģion armēnij kirdik kāj turcij ukrain,@rusantro Turcija ir viltīga. Vāja krievija = spēcīgas musulmaņu pozīcijas reģionā = Armēnijai kirdik. Pie kājas Turcijai ir Ukraina.,1
krievij noteikt miljon cilvēk opozīcij putin režīm ticam pamatot draud briesm,"RT @JanisIesalnieks: Krievijā noteikti ir miljoniem cilvēku, kuri ir opozīcijā Putina režīmam un var ticami pamatot, ka viņiem draud briesm…",1
tekst tiešraid krievij iebrūk ukrain nolaupīt pilsēt mēr nogalināt,TEKSTA TIEŠRAIDE. Krievija iebrūk Ukrainā; daži no nolaupītajiem pilsētu mēriem nogalināti https://t.co/ipb7wK4tru,0
zelensk pateic konkrēt gribat skol kriev valod privāt gadījum skait,"RT @irts1: Zelenskis pateica konkrēti, ja gribat skolas krievu valodā, tad tikai privātās un arī tikai tādā gadījumā, ja tāds pats skaits s…",1
krievij politisk vajāšan status iegūt aizejot vien mītin kriev apčakarējuš asv tagad latvij,@levuskans Krievijā politiskās vajāšanas statusu var iegūt aizejot uz vienu mītiņu. Cik jau krievi tā apčakarējuši ASV. Tagad vēl Latvijā viņus?,1
izdot valst prezident ķeng grāmat sagaid krievij darīt tāpat tēl varon vienatn nostājoti tukst plakātin tāpat vainīg dzīv,"Pie mums var izdot par Valsts prezidentu ķengu grāmatu un par to nekas nebūs. 
Sagaidām, ka Krievijā var darīt tāpat... Jo ko nu viņi tēlo varoņus, vienatnē nostājoties ar tukšu plakātiņu... Tāpat taču vainīgi, ka tur dzīvo...",1
decathlon veikal lab nenes kāj virzien darbiniek labāk darb devēj atr,"RT @normundsbergs: Decathlon veikals labs, bet nu nenesīs mani kājas tajā virzienā. Varbūt arī darbinieki var kādu labāku darba devēju atra…",1
krievij okupant izpostīt irpin kijev apgabal ukrain,RT @breakinglv: #krievija okupantu izpostīta #Irpiņa #Kijeva apgabalā #Ukraina. https://t.co/SBg7hwO9xi,0
krievij okupant izpostīt irpin kijev apgabal ukrain,RT @breakinglv: #krievija okupantu izpostīta #Irpiņa #Kijeva apgabalā #Ukraina. https://t.co/SBg7hwO9xi,0
neesat naiv sabiedrisk dom iespaidošan krievij alg milzīg troll mas troll tagad redz rietum zin portāl komentār fb ļot uzkrītoš pēdēj laik,"@_evija Neesat naivi. Sabiedriskās domas iespaidošanai Krievija algo milzīgas troļļu masas. Troļļus tagad redz arī Rietumu ziņu portālu komentāros, ne tikai FB. Ļoti uzkrītoši pēdējā laikā.",1
krievij okupant izpostīt irpin kijev apgabal ukrain,#krievija okupantu izpostīta #Irpiņa #Kijeva apgabalā #Ukraina. https://t.co/SBg7hwO9xi,0
zelensk pateic konkrēt gribat skol kriev valod privāt gadījum skait,"RT @irts1: Zelenskis pateica konkrēti, ja gribat skolas krievu valodā, tad tikai privātās un arī tikai tādā gadījumā, ja tāds pats skaits s…",1
heineken aiziet krievij,"""Heineken"" aiziet no Krievijas https://t.co/1qV8AbRKW1",1
zelensk pateic konkrēt gribat skol kriev valod privāt gadījum skait,"RT @irts1: Zelenskis pateica konkrēti, ja gribat skolas krievu valodā, tad tikai privātās un arī tikai tādā gadījumā, ja tāds pats skaits s…",1
vatņik krievij savukārt dienest valst policij tād viet šobrīd netrūkst,"@vanemvakkuri @realNepareizais @Valsts_policija Vatņiks viņš var būt Krievijā, savukārt dienestā Valsts Policijā tādam nav vietas, par ja šobrīd tur tādu netrūkst.",1
zelensk pateic konkrēt gribat skol kriev valod privāt gadījum skait,"RT @irts1: Zelenskis pateica konkrēti, ja gribat skolas krievu valodā, tad tikai privātās un arī tikai tādā gadījumā, ja tāds pats skaits s…",1
laik krievij veic kaŗ noziegum valst ieviesuš sankcij krievij latvij jānovāc pieminekl,"RT @e_alma: Laikā, kad Krievija veic kaŗa noziegumus, un valstis ir ieviesušas sankcijas pret Krieviju, Latvijā ir jānovāc visi pieminekļi,…",1
laik krievij veic kaŗ noziegum valst ieviesuš sankcij krievij latvij jānovāc pieminekl,"RT @e_alma: Laikā, kad Krievija veic kaŗa noziegumus, un valstis ir ieviesušas sankcijas pret Krieviju, Latvijā ir jānovāc visi pieminekļi,…",1
decathlon veikal lab nenes kāj virzien darbiniek labāk darb devēj atr,"RT @normundsbergs: Decathlon veikals labs, bet nu nenesīs mani kājas tajā virzienā. Varbūt arī darbinieki var kādu labāku darba devēju atra…",1
publisk analīz drusk mulsin jauk cilvēk parast notiekoš lietpratīg izskaidr vienlaik bezmaks analīz balstoti kur krievij kļūd labot stratēģisk vēl kar beidzi,"Šīs publiskās analīzes mani drusku mulsina. Jā, jauki, ka mums, cilvēkiem parastajiem notiekošo lietpratīgi izskaidro. Taču vienlaikus tās ir bezmaksas analīzes, balstoties uz kurām Krievija var savas kļūdas labot (jā, stratēģiskās  varbūt par vēlu). Karš jau vēl nav beidzies. https://t.co/P1TDjWjKIK",1
zelensk pateic konkrēt gribat skol kriev valod privāt gadījum skait,"RT @irts1: Zelenskis pateica konkrēti, ja gribat skolas krievu valodā, tad tikai privātās un arī tikai tādā gadījumā, ja tāds pats skaits s…",1
nesprāgus krievij okupant aviācij bumb harkiv ukrain,RT @breakinglv: Nesprāgusi #krievija okupantu aviācijas bumba #Harkiva #Ukraina. https://t.co/IXQUV6qm7B,0
ieņēmum naft eksport krievij joproj gad līmen,RT @MartinsAbolins: Ieņēmumi no naftas eksporta Krievijā joprojām ir 2019. gada līmenī.,1
