tweet_cleaned,tweet,polarity
pilnvaroj vēstniek riekstin organizēt agresorvalst pilson ielaišan latvij atteikti nosaukt ielaist,"RT @jautaa_veel: Kurš ir pilnvarojis vēstnieku Riekstiņu  organizēt agresorvalsts pilsoņu ielaišanu Latvijā , un atteikties nosaukt ielaist…",1
mēģināt teikt nacionālism vislabāk aizsardzīb putin agresij naiv bravūr latvij nat latvij aizsardzīb spēk stiprin nat saikn liberāl pārnacionāl vērtīb,"@tikums @NSTaisnigums Mēģināt teikt, ka nacionālisms ir vislabākā aizsardzība pret Putina agresiju ir naiva bravūra. Latvija ir NATO un ES. Latvijas aizsardzības spēks ir tas, kas stiprina ES un NATO saikni. Un tās ir liberālās un pārnacionālās vērtības.",1
noderīg kreml idiot kolonn balst latvij,RT @ViedaisT: Noderīgie kremļa idioti - 5.kolonnas balsts Latvijā- @Progresivie,0
garāmejot protam demokrātisk izglītot sabiedrīb jebkur cenzūr aizliedzam latvij šād sabiedrīb cenzūr vairāk nosacīt faktisk šād karotāj cenzūr nepeln sabiedrīb uzticamīb izklaus primitīv,"@realNepareizais Garāmejot. 
Protams, ka demokrātiskā un izglītotā sabiedrībā jebkura cenzūra būtu aizliedzama. 
Taču Latvija nav šādas sabiedrības, pati cenzūra ir vairāk kā nosacīta (faktiski nav), bet šādi ""karotāji pret cenzūru"" nepelna sabiedrības uzticamību, jo paši izklausās primitīvi.",1
labdarīb organizācij saņēmus gandrīz miljon eir palīdzīb sniegšan ukrain izlietot,"RT @ltvzinas: Labdarības organizācija @ziedot_lv saņēmusi gandrīz 6,6 miljonus eiro palīdzības sniegšanai Ukrainai, un no tiem jau izlietot…",1
krievij jok satraukusi krievij propagand vietn slēgšan latvij nellij sauc inter,"RT @realNepareizais: Krievija ir ne pa jokam satraukusies par Krievijas propagandas vietņu slēgšanu Latvijā.
Nellija arī. Sauc to par inter…",1
labdarīb organizācij saņēmus gandrīz miljon eir palīdzīb sniegšan ukrain izlietot miljon eir,"Labdarības organizācija @ziedot_lv saņēmusi gandrīz 6,6 miljonus eiro palīdzības sniegšanai Ukrainai, un no tiem jau izlietoti 5,9 miljoni eiro. https://t.co/cqeYMwkf9T https://t.co/MUGo3D4oOn",1
piereģistr lv iet tehnisk latvij,@dagnis16 Piereģistrē LV un iet tehnisko Latvijā.,1
lielāk eva fan nepiekrist grūt kristietīb latvij atnes okupācij spēk galven,"RT @lastguru_net: Neesmu lielākais Evas fans, taču te nepiekrist ir grūti, jo kristietību Latvijā atnesa okupācijas spēki, kuru galvenais m…",1
kf neņem vēr sk varēt pastrīdēti kādreiz respektabl daudz valst latvij daudz dīvainīb organizācij zin runāj gad nvo sektor,"@Aivarelli @RozeIeva @CircleKLatvija KF nevienu neņem vērā. Par SK varētu pastrīdēties - kādreiz bija respektabla, daudzās valstīs vēl ir. Latvijā ir daudz dīvainības ar šo organizāciju un es zinu, ko runāju. 20 gadi NVO sektorā.",1
pilnvaroj vēstniek riekstin organizēt agresorvalst pilson ielaišan latvij atteikti nosaukt ielaist,"RT @jautaa_veel: Kurš ir pilnvarojis vēstnieku Riekstiņu  organizēt agresorvalsts pilsoņu ielaišanu Latvijā , un atteikties nosaukt ielaist…",1
muļķīb sen iepirkt īpašum izveidot biznes kont ban,"RT @Iniveta: @sirsenis @pelekaapele @RedWhiteRedLV @liana_langa Muļķības. Viņiem sen te ir iepirkti īpašumi, izveidoti biznesi un konti ban…",1
vairāk uzturēšan atļauj izdalīt rus pilson uzturēt latvij daudz rū,"RT @EdvardsRatnieks: Vairāk par 50 000 uzturēšanās atļaujām, kas izdalītas RUS pilsoņiem, lai uzturētos Latvijā.
Nav tā kā par daudz?
1. Rū…",1
pilnvaroj vēstniek riekstin organizēt agresorvalst pilson ielaišan latvij atteikti nosaukt ielaist,"RT @jautaa_veel: Kurš ir pilnvarojis vēstnieku Riekstiņu  organizēt agresorvalsts pilsoņu ielaišanu Latvijā , un atteikties nosaukt ielaist…",1
tautīb latvieš dažād tautīb latvij piederīgi pilson savukārt latvieš latvij val,"RT @liana_langa: Nav tādu visu tautību latviešu, bet mums ir dažādu tautību Latvijai piederīgii pilsoņi; savukārt latvieši ir Latvijas vals…",1
lumpen iedomājāti tiesīb zināt daudz dažād interesant cilvēk latvij sal,"RT @Lato_Lapsa: Jūs ko, lumpeņi, iedomājāties, ka Jums ir tiesības zināt kaut vai to, CIK DAUDZUS dažādus interesantus cilvēkus Latvijā sal…",1
labprāt redzēt latvij,"Lūk, viņu es labprāt redzētu Latvijā. https://t.co/P19CsEZWJ4",1
novērot latvij,RT @mabasurf: To pašu var novērot Latvijā.,1
latvij pievienosi plān polij slovēnij čehij piedāv,"RT @KBlumberga: KAD Latvija pievienosies šim plānam, @Arlietas @edgarsrinkevics @krisjaniskarins ?
Polija, Slovēnija un Čehija piedāvā ES p…",1
pilnvaroj vēstniek riekstin organizēt agresorvalst pilson ielaišan latvij atteikti nosaukt ielaist,"RT @jautaa_veel: Kurš ir pilnvarojis vēstnieku Riekstiņu  organizēt agresorvalsts pilsoņu ielaišanu Latvijā , un atteikties nosaukt ielaist…",1
pilnvaroj vēstniek riekstin organizēt agresorvalst pilson ielaišan latvij atteikti nosaukt ielaist,"RT @jautaa_veel: Kurš ir pilnvarojis vēstnieku Riekstiņu  organizēt agresorvalsts pilsoņu ielaišanu Latvijā , un atteikties nosaukt ielaist…",1
pirmdien viet latvij gaidām liet atsevišķ posm cel sliden,Pirmdien vietām Latvijā gaidāms lietus. Atsevišķos posmos ceļi būs slideni https://t.co/7plg9nerY7,1
reiz dzīvot saticīb pārēj latvij jāmāc maij uzskat svētk nespēj pieņemt pasaul kar cietuš jāpiemin maij nevajadzēt dzīvot latvij mājviet jāizvēl ideoloģisk tīkamāk valst,"@JSafraneka @Vinotava @EmilsJakrins @nilsusakovs @nralv Kā reizi dzīvot saticībā ar pārējiem Latvijā ir jāmācās tiem, kuri 9. maiju uzskata par svētkiem. Tiem, kas nespēj pieņemt to, ka 2. pasaules karā cietušie ir jāpiemin 8. maijā, nevajadzētu dzīvot Latvijā, un par savu mājvietu būtu jāizvēlas kādu, sev ideoloģiski tīkamāku valsti.",1
lobēšan neizbēgam politik sastāvdal latvij pietrūkst radoš pieej spēl zāl prast biznes simbol lobism,"@Martins_Vaivars Lobēšana ir neizbēgama politikas sastāvdaļa. Latvijā pietrūkst radošas pieejas. Spēļu zāles, ar savu prasto biznesu, ir simbols tam, kāds ir lobisms pie mums.",1
novērot latvij,To pašu var novērot Latvijā. https://t.co/Ytm9ib3xeG,1
pilnvaroj vēstniek riekstin organizēt agresorvalst pilson ielaišan latvij atteikti nosaukt ielaist,"RT @jautaa_veel: Kurš ir pilnvarojis vēstnieku Riekstiņu  organizēt agresorvalsts pilsoņu ielaišanu Latvijā , un atteikties nosaukt ielaist…",1
saskan lūguš krievij saskaņojum šīm darbīb saņems cieņp,"RT @irts1: Vēl saskaņos? ... https://t.co/b4bw3XVULs
...Mēs esam lūguši Krievijai saskaņojumu šīm darbībām. Kad to saņemsim, tad arī cieņpi…",1
lumpen iedomājāti tiesīb zināt daudz dažād interesant cilvēk latvij sal,"RT @Lato_Lapsa: Jūs ko, lumpeņi, iedomājāties, ka Jums ir tiesības zināt kaut vai to, CIK DAUDZUS dažādus interesantus cilvēkus Latvijā sal…",1
edvīn karnīt latvij rad dabasgāz apgād risk,RT @DelfiLV: Edvīns Karnītis: Kas Latvijā rada dabasgāzes apgādes riskus? https://t.co/EXOFA7feBc,1
latvij iedzīvotāj ukrain karot sūt džip,RT @3tupesis: Kā Latvijas iedzīvotāji uz Ukrainu karot sūta savus džipus:  https://t.co/GGitwt3T7q,1
izbeigt laist latvij kriev bēgl tūlīt,RT @NeredzamaGaisma: @augustovska Izbeigt laist Latvijā krievu 'bēgļus' jau tūlīt.,1
pateicoti cilvēk riekstiņ latvij vājāk baltij valst lietuvieš igaun stiprin aizsardzib spēj nacionāl politik tikmēr latvij apzināt import simt labāk dzīv meklētāj kf,@EmilsBuikis @World_berg @Riekstins__M @ltvzinas Pateicoties tādiem cilvēkiem kā M. Riekstiņš Latvija ir un būs vājākā starp Baltijas valstīm. Lietuvieši un Igauņi stiprina savas aizsardzibas spējas un nacionālo politiku tikmēr Latvija apzināti importē simtiem labākas dzīves meklētājus no KF.,1
pastāvīg klātbūtn vēlam amerikān jāstrād panākt andžān levit nat samit lēmum rakst,"«Pastāvīga klātbūtne, vēlams – amerikāņu» un «jāstrādā, lai to panāktu» – Andžāns un Levits par NATO samita lēmumiem / Raksts https://t.co/xOvJjxNbEU",1
