content	polarity
Tas zināmā mērā diskreditē visu, kas ir teikts un rakstīts pirms tam, nerunājot par to, kas sekos nākotnē. 	SPEECH
Kariņš klāt mums būs vēlmju piepildījums par 660. Iespaidīgi.	SPEECH
dirks, tu laikam esi aizmirsis, kas darās amerikosu Guantanamo cietumā, kur var iemest jebkuru bez pierādījumiem, tikai uz aizdomu pamata. Tur pat veic medicīniskus eksperimentus lielo farmācijas kompāniju uzdevumā.	SPEECH
Ko ne 660?	SPEECH
Nav ko velti muti dzesēt - nosaukumam nav nekādas nozīmes, jo pārrunas un vienošanās par lietu kārtošanu tāpat būs. Tāpat būs arī sponsoru vēlmes, kuras izteiks kāds no frakcijas ja pašam sponsoram tas būs liegts.	SPEECH
Droši vien ne jau visi. Labāk būtu, ja viņiem tiktu dota iespēja (šodien tādu nav gandrīz nevienam mirstīgajam, grāmatas ir dārgas un tās nav modē, turklāt pašam jāsacer, pašam jāpmaksā izdošana) publicēt izklāstu kā viss sākās, kas vervēja, ko sliktu paveica un kādas bija sekas.Palūgtu piedošanu. Bet ciest nevaru, ka bieži vien esošajās grāmatās iztiek bez uzvārdiem (x un n piesaukšana ir klaja muldēšana, bet kaut ko ar aizdomām minēt, piesaucot uzvārdu savukārt ir tenkošana) To laiku cilvēkiem visbiežāk internets ir tikai kaut kur tur...	SPEECH
Nu jā, vēsturnieki, kuri iebilst Suvorovam arī izmanto atsauksmes, pat uz arhīviem, kuri Suvorovam nebija pieejami.	SPEECH
Es tak saku, demisionējušais V Dombrovskis, un Finanšu instrumentu lietotāji, kā nevar, tā nevar..pareizās opcijas pieņemt, ik pa četri gadi dodas uz šrotu. Nezinu, ko tajā LU māca, tagad jau izglītības sistēma uz ES dodas???	SPEECH
Salies visu naudu vienā Gagarina kausā, un gan jau, ka derēs.	SPEECH
Tu latviski nesaproti? Es varu aiziet uz to pašu avotu, uz kuru atsaucās Suvorovs, kurā viss ir minēts - uzbrukuma taktika. Un par tavu aizsardzības tēzi nav nekādu pierādījumu - uz 1941. gada 22. jūniju neeksistēja PSRS aizsardzības plāni kara apgabalos PSRS-Vācijas robežas tuvumā, jo nav nekā, kas norādītu par to eksistenci, tikai tavi slapjie sapņi.	SPEECH
RD jakrins iepircis nano saali	SPEECH
Liekas būs pamatīga konkurence.	SPEECH
Ogres Helmanis raidījumā publiski atzinās, ka goda zīmi saņēmis par CĪŅU PAR VILTUS ZIŅU IZPLATĪŠANU. Apsveicam, beidzot viens godīgi atzinās ka izplata viltus ziņas !	SPEECH
Beidzot Latvijai būs tā lielā nauda.	SPEECH
Komentāri neskaitās. Es runāju par neatkarīgu masu mediju, kas būtu pieejams vairumam LV cilvēku un kurš netaptu apkarots no valsts puses.	SPEECH
Neatkarīgais eksperts, kas tik daudz priekšvēlēšanu gaisotnē mūsu neatkarīgajos medijos paudis. 	SPEECH
Kariņš piedāvā pamatīgi, bet varbūt der.	SPEECH
Kāpēc man par visiem kursiem jāmaksā pašai? Un diezgan lielas summas.	SPEECH
Paldies par noderīgu informāciju. Tā mobilizē. Vadītajiem vienmēr jābūt uzmanīgiem un modriem. 	SPEECH
Mammucis arī strādās.	SPEECH
Viniem neiet ne viegli, nedz ari atri, tomer vini ir baigie malaci. Slava Ukrainai!	SPEECH
Būs jāiet uz šo šovu, varbūt protestēs arī apstiprināmie valdības vīri un viņu partiju biedri. Dažs tv izteicās, ka balsos pret valdību, kurā pašam paredzēts ekonomikas ministra portfelis.	SPEECH
zobi jau kārtība un bilde kā jau sludinājumam- ko gan tad te pārragri gaida mājas? Visam savs laiks	SPEECH
Ogres Helmanis raidījumā publiski atzinās, ka goda zīmi saņēmis par CĪŅU PAR VILTUS ZIŅU IZPLATĪŠANU. Apsveicam, beidzot viens godīgi atzinās ka izplata viltus ziņas !	SPEECH
Nu tik jādomā, kur to naudu ņemt.	SPEECH
Daudz 660.	SPEECH
ir n-tās valstis, kur tiem gomosekiem ir nāves sods pēc likuma---------------&gt;NU islāma valstīs jau arī ir. Tāpēc jau es ne par velti saku, ka čečenija de facto ir islāma valsts.	HATE
Interesanti uz kuru cietumu viņu vedīs, jo cik saprotu visur viņam būs ļoti priecīgi tas iestādes iemitnieki.	SPEECH
tulīt būs Apple kritizētāji (no kuriem 80 procenti nevar to atļauties). pašam ir Iphone Xs, nav pat vienas vietas, kur piesieties. rokā premium sajūta, kamera izsvērta, laba krāsu dinamika, atmiņas daudz un strādā ātri. vienīgais, kas man patīk no Android ur mate pro, bet cena tik pa 100 eur atšķiras.	SPEECH
Ar ko Janka no purčika sliktāks par Muhamedu no Ēģiptes?	SPEECH
izskatās, ka drīz tauta sāks novērtēt ZZS valdības sasniegto, gan veselības nozarē, gan daudzos citos jautājumos. Ne velti Kučinska valdība ir līdz šim visilgākā. Tautā dzird runājam, ka par premjeru jāvirza Lembergs.	SPEECH
Izskatās UK demokrātija pārstājusi funkcionēt.	SPEECH
Kas tas būtu,no budžeta gada laikā vairāk pazūd ar galiem.	SPEECH
Dziedātāja? Izklausās gan , ka viņa naudu ir pelnījusi ar citu vietu. Un kur bija uztrauktā māte, kad meita devās uz to babuīnu zemi, kur visiem ir skaidrs, kādi lopi tur dzīvo?	HATE
Ticu, Kariņam, un liekas, ka viņš šo naudu atradīs.	SPEECH
Man šķiet (varbūt kļūdos), vajadzētu vismaz internetā nopublicēt visus datus par šo cilvēku ar konkr. piemēriem. Citu iespēju(tikko rakstīju) jau nav. Rakstošie mediji kādam reāli pieder un tur gadu gadiem muldās vieni un tie paši štata ļautiņi. Brīnums, ka ikdienā nesakaujas, bet pr-kam gan bučo ..., lai publicētu	SPEECH
Mazliet pārsteidz, ASV gribēja pārdot ieročus, celt sienu. Bet Kariņš nemaz kaut kā tā. Ar Igauniju mums vienmēr jābūt modirem.	SPEECH
Nu attālums no Tērvetes līdz LIDOSTAI patiesi ir nepārvarama problēma. 	SPEECH
Tie geji ir brunoti, ja vinus vaja ar lozmetejiem ka DELFI to parada	HATE
Domāju, ka Latvija spēs šo naudu atrast.	SPEECH
Nekas pret viņu, bet, manuprāt, Ostapenko nav top 20 spēlētāja. iesaku noskatīties kādu viņas spēli pret jebkuru top 10 spēlētāju, vispār nekādu variantu. Turpretim Sevastova ir pelnīti top 20 spēlētāja, kurai ir izredzes pat pret pirmajām raketēm. Uzskatu, ka Ostapenko ir top 100, nevis top 20 sēlētāja. 	SPEECH
Jā, no Tērvetes uz Rīgu nokļūt, tā ir neiespējamā missija. Iesaku iesaistīt gaisa spēku glābšanas helikopterus, varbut arī robežsardzi.	SPEECH
Nu lai taču tinas, nebūs tautai jākaunās par visādām ķēkšu ministrēm. 	SPEECH
21. mums būs atpakaļ prezidents, tad jau, ka valdība būs.	SPEECH
Tas nav jocīgi, tas ir Putina kunga plāns. Milzu mošeju Maskavbadā taču atklāja.	SPEECH
Latvijā!	SPEECH
Beidzot to kantori sāks šķetināt 	SPEECH
Atliek tikai gaidīt Latvijas ekonomiskais uzplaukums, un gan jau, ka mums būs tā nauda 660.	SPEECH
Tas viss ir izdarāms. 660 nav nemaz tik liels skaitlis.	SPEECH
Valdība veidojas lēni un pamatīgi.	SPEECH
latvijas tirdziņā nonāktu 2t. ar kociņu, pūstu stabulē uz nebēdu!!	SPEECH
Tas kokaīns vienmēr tiek apdrošināts, tā kā nekādu zaudējumu tur nav.	SPEECH
Būtu labāk atsaukuši savu slaveno ministres kandidāti Ramončiku.	SPEECH
divas tonnas aizgāja gar degunu :-)	SPEECH
Varam secināt, ka vēlmju ir daudz. Atliek tikai no kaut kā atteikties.	SPEECH
Nu, autobusa no Tērvetes uz Rīgu nav. Pieļauju, ka visādas kombinācijas ar pārsēšanos, piem., Jelgavā, var neiekļauties laikā- uz lidmašīnu tā kā nevar pēdējā minūtē ierasties...	SPEECH
Gan jau, ka būs ar Kariņu kopā valsts ekonomiskais uzplaukums.	SPEECH
MG Knocky šis it tas mērglis. Paskatieties FB	SPEECH
Vismaz kaut kāds paziņojums. Vismaz zinām, kā būs nākotnē Latvijā. Utt.	SPEECH
Viniem neiet ne viegli, nedz ari atri, tomer vini ir baigie malaci. Slava Ukrainai!	SPEECH
Lieta palikusi jau daudz komlicētāka,ja reiz vairs nerāda pat pārkāpēju auto reģistrācijas nummurus!	SPEECH
Jāuzmanās no Igaunijas. Vajag sienu ar Igauniju.	SPEECH
Ceram, ceram. Un vēl ceram, ka tiks atmaksāts, ko esam samaksājuši nelikumīgi.	SPEECH
Jā, Krieviju sadalīs un kontrolēs Ķīna. Rietumiem nekas tur nesanāks :G:	SPEECH
Valdības deklarācijas melnrakstā iekļautās vēlmes 2019. gadā izmaksātu 660 miljonus eiro - nav problēmu, mums tikko atrada narkotikas par miljardu. Vajag tikai veiksmīgi nopārdot, un viss būs	SPEECH
Tu neesi Kristus reinkarnācija, lai es meklētu visu, ko tu citur esi sarakstījis :G:	SPEECH
Prieks par policijas darbu! Malači, vismaz izglāba kāda potenciālā upura dzīvību!	SPEECH
Viņi tikai taisa troksni	SPEECH
Vismaz prognozes ir. Jāgaida, kā viss realizēsies.	SPEECH
Tā visa nauda būs kaut kur jāatrod.	SPEECH
Vecīt, nevilto pats, PSRS nekādu vācu militāro pilotu apmācības pēc Hitlera nākšanas pie varas vairs nenotika, un neko jau PSRS tiem nespētu iemācīt, jo vācieši tad bija labāki. Vācieši deva kredītus markās 1925, 1931. gadā, ar norunu, ka par tiem PSRS pirks vācu tehniku un ieročus, bet pretī dos izejvielas un resursus. Praktiski tas bija barters, kurš darbojās neatkarīgi no markas vērtības. Arī ASV deva kredītus PSRS un par tiem veica PSRS industralizāciju un vēlāk lendlīzu, par ko PSRS visu tā arī neatmaksāja. 	SPEECH
Demokrātija mums būs uzvarējusi. Beidzot mums būs tā valdība.	SPEECH
Vai ir apzināti tie kuri šobrīd sadarbojas ar čeku....	SPEECH
Vai salātus nomazgāja?	SPEECH
Slikts saimnieks autoparkam!	SPEECH
Un ja nu vietā nāks Kadirovs ? 	SPEECH
Pēc nedēļas, 21. janvārī, Kariņš plāno tikties ar Valsts prezidentu Raimondu Vējoni.	SPEECH
ok 	SPEECH
Ijabs nekad nav bijis neatkarigais.Kura partija samaksaa,taas partijas intereses arii izsaka.	SPEECH
A pa moemu ta ir sudraba pa prieksu,	SPEECH
No kurienes mums to naudu vējš sapūtīs?	SPEECH
rakstīt iemācies	SPEECH
Vēlu veiksmi, bet krievi ir pacēluši latiņu ļooti augstu. 	SPEECH
Kā vēsture parāda, neatkarīgi no tā, kas, kas ir pie varas, kāds ir režīms vai kāda ir valsts, 97% ieslodzītie ir teikuši, ka viņi ir sēdējuši ne par ko. Visu to pašu var dzirdēt katrā valstī.	SPEECH
Prezidents gan atradis īsto brīdi, kad paņemt atvaļinājumu.	SPEECH
Suvorova rakstītajā es apgāžu tikai modes terminus, neko vairāk. Bet tu meklēji pretrunu, kuras nav.	SPEECH
"Līga Skromane, Dziedātājā Māra\
\
Te jau var sākt taisīt sarakstu."	SPEECH
Pareizi! Lai brauc pozēt un izrādīties uz siltajām zemēm!	SPEECH
60 gados nevajag ņēmēju,bet ir tie gadi,kad pieredze dzīvē,atsver apvainojumus,kas ir lāsts tiem,kas nenovērtē vecāku cilvēku dzīves pieredzi un nesaprot lingvistikas valodu ar domāšanu sekām.	SPEECH
Ījabs zin, ka Eiropas Parlaments ietekmē visai maz, tātad neiet varas dēļ. Visticamāk iet, lai būtu skaists ieraksts zinātnieka CV, paplašinātu redzesloku. Deputāta alga 6000 eiro arī nav peļama.	SPEECH
Laucinieki vienkārši ir sasapņojušies par savām vecajām būdam tās kosmosa cenas ko viņi prasa! Neviens uz tiem laukiem neskries un nedzivos tak vienreiz nākat pie prāta! Normāli domājoši cilvēki pārceļas uz dzivi pilsētās nevis dzivo laukos! Laukos var dzivot tikaj bagāti cilvēki tā ka tas ir ārzemēs!	SPEECH
Mans bērns tā nepazudīs jo es pareizi audzināšu. Viss atkarīgs no tā kā vecāki audzinājuši.	SPEECH
Varbūt lai veselību labāk saved kārtībā... Universitātē churaa gandrīz vai bļaujot. Prioritātes...	SPEECH
Prasīt pierādījumus pirmais sāki tu. Nu tad pirmais arī piestādi pierādījumus saviem apgalvojumiem.	SPEECH
tā kā laiks būtu pamosties...	SPEECH
"PARam pēc zzs mīlestības izpausmēm reitings zem 2%\
Bet Ijabs sen zināms Jaunzupa podlaiža, nebrīnos..."	HATE
Ar kādu ātrumu jautājums lādējās telefons un visas uzpariktes? Pieļauju, ka ne tu kabelim. 	SPEECH
cik mammucim bija prāta meitu audzināt, tik pašai tālāk dzīvot. Diemžēl...	SPEECH
Biju. Interesanta rašanās vēsture. Man patika. 1 diena ir OK. Viesnīcu jāņem uz kalna, tad ir sajūtas :) Iesaku.	SPEECH
Vēl nav saņēmies ASV vēstniecības piekrišanu šim diplomātiskajam aktam.:D 	SPEECH
Beidzot pie varas nāks Kariņš.	SPEECH
kreditēšana ir bizness ar mērķi gūt peļņu. un tikai. tu pats dotu kādam ilgtermiņa kredītu, ja ķīlā ir nomalē esoša māja ar katru gadu krītošu tirgus vērtību. nevienai bankai nav pienākums dot nevienu kredītu. pienākums nediskriminēt ir tavas fantāzijas. 	SPEECH
Nav tur nekādu miera. Kur tu nosapņoji to miera nodrošināšanu.	SPEECH
Nu liecieties taču mierā. Es arī viņus redzēju lidostā, bet neienāca prātā to paziņot pasaulei vai nobildēt. Nu jau gan sabiedrības ņirgāšanās pārkāpj kkādas normas. Lai viņi veido savu dzīvi, kā vecāki mācījuši.	SPEECH
O Malači! Nē Koalīcijas padomei 2!	SPEECH
pierādījuši sevi tirgū. reāli, cik ğimenē un draugiem bijis, nekaras. sievai bija android flagmanis un pēc 1.5 g sāka lēnu darboties, kaut arī 6 gb ram. un atmiiņa bija tik 50 no 128 gb aizpildīta. man 6s palikuši brīvi bija daži simti mb un vēl ideāli darbojās.	SPEECH
Varbūt kādam līdz, bet 10+ gadus atpakaļ 3 gadus pēc kārtas sapotējos un saslimu vieglā režīmā gripas laikā. Pēc tam nepotējos un neesmu gripu slimojusi (slimojusi kaut cik esmu, bet nu patasti rudenī vai martā/aprīlī)	SPEECH
Liekas, ka nemaz tik liels skaitlis nav.	SPEECH
Bet tad čečenija reāli ir krievijas daļa vai nē?	SPEECH
varetu padoat ka jaunatnei ir tada nauda lai lietotu kokainu, kokains ir ljoti turigu cilveku narkotika....	SPEECH
Budžets brakšč.	SPEECH
"2 zābaku pāris\
"	SPEECH
Viņi jau ārstē tikai ar pareizām metodēm,sen bija laiks.	SPEECH
Kariņš pilda solījumus. Alum cena Maksimā uz leju.	SPEECH
Beidzot mums būs tā valdība ar Kariņu.	SPEECH
Kaut kas nav kārtībā arī ar to māti. Maz viņai, ka līdzcilvēki saziedojuši naudu uz Ēģipti, vēl atļaujas publiski stāstīt par problēmu nokļūt no Tērvetes uz Rīgu ? Normāls cilvēks tādā situācijā kaut rāpus aizietu, ar stopiem divas dienas iepriekš censtos nokļūt, nakšņotu lidostā utt. lai palīdzētu tuviniekam, bet viņā vēl cenšas kaut ko papildus sadiedelēt. Nekādas cieņas ne mātei ne meitai.	SPEECH
Jautājums vai pirmdien par šo valdību kāds nobalsos no KPV LV puses. Kariņam būs vājš ministru metiens!	SPEECH
Beidzot būs ļoti daudz naudas.	SPEECH
Nevar un nedrikst būt budžetā parpalikums, tā nauda vienkārši ir jaatfotiem kas to ir sūri grūti pelnījuši. Dievs sodi sociālās taisnības cīnītājus, primitīvos eiropistus.	SPEECH
Gaidam Latvijas uzplaukumu.	SPEECH
Par Latvijas uzplaukumu.	SPEECH
Visi tik gudri pamācīt, ka vemt gribas. Jūsuprāt vajadzētu dzīvot ar kādu nevieksminieku, kurš nekā vairāk par alus bamsli un spēļu zāli nezina?! Ir pietiekoši daudz sievietes, kuras ārzemēs ir izveidojušas dzīvi ar sevis cienīgu vīrieti un ir laimīgas!	SPEECH
It kā jau tam nevajadzētu kļūt par iemeslu raganu medībām, tomēr atsevišķi personāži (stukači) ir pelnījuši uzsēdināšanu uz mieta Doma laukumā. Duālas sajūtas.	HATE
Vecīt Omska ir otra lielākā Sibīrijas pilsēta. Tev līdzīgie tak klaigā, ka Ķīna pārņem Sibīriju. Interesanti, kapēc Ķīna nepāņem citas kaimiņvalstis kuras nav tik bruņotas, kā Krievija. Tas tā pārdomām.	SPEECH
Bet Mongoliju, kurai ir miniatūra armija un maz iedzīvotāju nepārņem.	SPEECH
Manuprāt KPV organizēts pikets būtu tieši laikā, katru gadu vecie vēži iztērē simtiem miljonu vairāk nekā nopelna. Valsts parāds strauji aug. Tas ilgi vairs nevar tā turpināties jo riskējam pazaudēt neatkarību un valsti....	SPEECH
Stipri šaubīgi, bet ja nu, tad tev smiekli vairs nenāks...	SPEECH
Piedod, bet tu esi stulbs. Uzņēmumam kam ierēdņi nosaka peļnu vispār nav tiesības eksistēt.	HATE
Patiešām komiski un liekulīgi.	SPEECH
Tie 200 cilvēki , kas piedalīsies ir tie izsvilpēji? Tad nu gan tautas griba, pat pie Uzvaras pieminekļa iet vairāk.	SPEECH
Nav nemaz tik liels skaitlis 660. Gan jau, ka var savākt to.	SPEECH
Kariņš var savākt šo ciparu 660. Tas ir izdarāms.	SPEECH
Sāksies lielā Maksimas alus dzeršana. Gan jau, ka būs Latvijas ekonomiskais uzplaukums. 	SPEECH
Vismaz sāk saprast ka solījumi arī jāpilda 	SPEECH
Rīt būs lētie ali Maksimā. Kariņš goda vīrs. Apsolīja un ar izpildīja.	SPEECH
Par Latvijas uzplaukumu!	SPEECH
Es negāju uz parastajām vēlēšanām un neiešu arī uz ārkārtas. Neredzu par ko tur varētu vēlēt. Ja pirms parastajām es vispār nezināju, kas tie tādi, tad tagad zinu.	SPEECH
Daudz Latvijas vajag. Jo mums Kariņš nāks pie varas.	SPEECH
vafen ss netiras prostitutes dels	HATE
Par Kariņu. Par Latviju. Esmu Latvijas patriots.	SPEECH
nu, ta beidzot, ļaus izpausties nopietniem cilvēkiem ! 	SPEECH
Ja tā nav vienkārši izvirtība, tad tas nav ārstējams, tā tad sanāk ir piespiedu turēšana trakomājā. Arhaisms kaut kāds.	SPEECH
Man par šiem klauniem vairs nav ilūziju. Vai tiešām stūrē ārkārtas vēlēšanu virzienā? Man priekš viņiem ir jaunums - nebūs nekādu ārkārtas vēlēšanu.	SPEECH
Žurkas pamet grimstošu kuģi	SPEECH
Alni, cik Tev par to maksā?	SPEECH
Vai tad nevarēja vēl 6 miljonus kaut kur ieplāno ? Būtu skaists, atmiņā paliekošs skaitlis 	SPEECH
Tiem, kas nezina. Viņš jau sen ir ārā. Es viņu personīgi pazīstu. Protams, nosodu viņa izdarību, bet tāds, kāds viņš ir tagad, nekas neliecina par to, ko viņš ir paveicis. 	SPEECH
Televīzijas tornis, cietums Liepājā jau 200 citroni, vēl kultūras ministriju izsijāt, un skat 300 mj. jau ietaupīti. Mazāk muļķībām tērēt!	SPEECH
Kopā ar Kariņu, spēcīgi ES!	SPEECH
Latvijas vadonis tagad mums būs Kariņš! Urāāā!	SPEECH
Latvijai savu vadoni.	SPEECH
Spēcīga Latvija.	SPEECH
Latvijas vadonis, beidzot mums būs.	SPEECH
"Nja, man ar likās mazliet dīvaini, ka uz Ēģipti brauks, bet no Tērvetes uz Rīgu nevar tikt... Jebkurā gadījumā - ceru, ka viss beigsies veiksmīgi. \
"	SPEECH
Bet kā savādāk? Pat teorētiski nekas cits nav iespējams	SPEECH
Krievijas federācijas daļa, bet tu esi gomoseks, ja tā sacepies pie šī raksta? 	HATE
Tagad IDB vajag aizturēt kādu no KNAB....	SPEECH
Nav interesanta tēma.	SPEECH
Bildēs lielāka daļa izskatās tā, it kā kaut kas būtu bijis pie kafijas piebērts	SPEECH
