tweet_cleaned,tweet,polarity
pārliecināt tiešs turcija nākotne radīt problēma pats nato kritisks laiks erdagana nostāt rīcība patikt pārsteigt izbrīnija,"@Borovkovs Es biju pārliecināts, ka tieši Turcija nākotnē radīs problēmas pašā NATO, bet kritiskā laikā Erdagana nostāja un rīcība mani patīkami pārsteidzoši izbrīnija.",1
rīga patikt pārsteigt daudzi karogs cilvēks draudzīgs iedot numurs teikt ziņot,"RT @ArnisRachinskis: Rīgā patīkami pārsteigti, daudz karogi, cilvēki līdz šim draudzīgi. Iedevu arī savu numuru, teicu, lai ziņo un, ka par…",1
grāmata ļoti noderīgs rakstīt maģistrs darbs just patikt pārsteigt ieraudzīt vārds autors iedot pievienot vērtība,"@LauraMelne Šī grāmata man bija ļoti noderīga, kad rakstīju maģistra darbu. Jutos patīkami pārsteigta, ieraugot viņa vārdu starp autoriem. Tas iedeva tādu kā pievienoto vērtību.",1
sacīt gribēt patikt redzēt krievs smadzenes sprāgt puša viena puse kreiseris peldēt supercieto,"RT @MartasTante: Sakiet ko gribat, ir patīkami redzēt, kā krieviem smadzenes sprāgst pušu.
#
No vienas puses, kreiseri - peldošu supercieto…",0
stāvs sardze pienākt pirmklasnieks stāstīt dzejolis dzimtene pacienāt saldums silts patikt dvēsele paldies mazulis zina cīnīt,"""-Tā tu stāvi sardzē, un te pienāk maza pirmklasniece, stāsta dzejoli par Dzimteni un pacienā ar saldumiem. Un tas kļūst tik silti un patīkami dvēselei! Paldies, mazulīt! Es zinu, par ko mēs cīnāmies."" https://t.co/eUSAwe1vcj",1
sacīt gribēt patikt redzēt krievs smadzenes sprāgt puša viena puse kreiseris peldēt supercieto,"RT @MartasTante: Sakiet ko gribat, ir patīkami redzēt, kā krieviem smadzenes sprāgst pušu.
#
No vienas puses, kreiseri - peldošu supercieto…",0
putns konteksts interesants krūms uzreiz vējš ģenerators skaidrs celis smiltsērkšķis nobruģēt raita solis aizcilpot bāc sākt izklausīt tāpat patikt,"@mafmafii Putnu kontekstā interesanti ir krūmi jau uzreiz aiz tā vēja ģeneratora - tur jau skaidrs, ka neviens ceļu starp smiltsērkšķiem nenobruģēs, bet nu līdz tiem raitā solī aizcilpot (bāc, sāku izklausīties jau kā @KasparsFunts) tāpat ir patīkami.",1
piedzīvot buča varēt patikt,"@JeanneDielman_ Piedzīvot Buču gan varētu būt patīkami, vai ne?",1
rīga patikt pārsteigt daudzi karogs cilvēks draudzīgs iedot numurs teikt ziņot parāde pilsēta piedāvāt draudzība šobrīd palikt mēness redze,"Rīgā patīkami pārsteigti, daudz karogi, cilvēki līdz šim draudzīgi. Iedevu arī savu numuru, teicu, lai ziņo un, ka parādīšu pilsētu, piedāvāšu draudzību. Šobrīd esot kur palikt uz mēnesi, tad redzēs.⬇️",1
vecmamma vecpapu pātikami iespert,"Vecmamma par vecpapu: 
"" pa viņu ir tik pātikami iespert """,1
vajag runāt patikt cilvēks atbalsts klusēt vairs,"@gina_vjugina Par šo vajag runāt, ir patīkami, ka cilvēki atbalsta to, ka neklusēju vairs. https://t.co/lgoG62Nnzs",1
minūte raidījums ardziesmupardzīvi saruna lieldienas noskaņa mācītājs aizrautīgs grāmata lasītājs indulis paiču patikt mierpilns svētki,Jau pēc 20 minūtēm raidījumā #ArDziesmuParDzīvi saruna Lieldienu noskaņās ar mācītāju un aizrautīgu grāmatu lasītāju Induli Paiču. Lai patīkami un mierpilni svētki! 😇 https://t.co/95WgMsayEV,1
ielikt acs kontaktlēca liels šķīvis lidmašīna lidot ļoti zems pilsēta satiksme brīdis braukt celis klasika gigantisks milzt vilnis elpot ūdens patiesība patikt um gandrīz līdzināt lidot sapņot,"@ArtaLiene man ir jāieliek acīs kontaktlēcas, bet tās ir tik lielas kā šķīvji; būt lidmašīnā, kas lido ļoti zemu pār pilsētām un satiksmi, brīžiem vnk braucot pa ceļu; klasika - gigantiski milzu viļņi; elpot zem ūdens - šis gan patiesībā ir patīkami um gandrīz līdzinās lidošanai sapņos",1
patikt vīrietis skaidrs esošs cieņa izsacīt vispārīgs kompliments sieviete skaists patikt stils vīrietis gatavs apmierināt paldies vienīgs atbilst pretmets iereibt vecis meitene ļoti skaists augums sākt iet līdzēt turpināt komentēt,"@K_Aschmann Patīkami, ja vīrietis ir skaidrā esošs un ar cieņu izsaka vispārīgu komplimentus - sieviete ir skaista, patīk stils. Vīrietis ir gatavs apmierināties ar ""paldies"" kā vienīgo atbildi. Pretmets - iereibis vecis ar ""Meitenīt, jums ļoti skaists augums"", sāk iet līdzi,turpina komentēt",1
