tweet_cleaned,tweet,polarity
mārtiņ staķ,"@free_Belarus_lv 🇱🇻 Mārtiņš Staķis
https://t.co/jkzVLhcSJA",1
alis gribēt lat pateikt staķ teic gobzem tīr latvieš valod,"@phronemophobe @Lato_Lapsa @selmuushh Ja es būtu Alise, man gribētos Lato pateikt to pašu, ko Staķis teica Gobzemam. Tīrā latviešu valodā, starp citu.",1
demokrātij beidz pasak viedokl cit nepiekrīt uzskat kariņ nemaz sliktāk variant dot brīd staķ ļot pozitīv parād cepj stabin ušak apzag pilsēt urr,"@TomsYuuga @sdimza demokrātija beidzās,tad kad tu pasaki savu viedokli, un cits tam nepiekrīt. Es arī uzskatu, ka Kariņš nav nemaz tas sliktākais variants uz doto brīdi,+ Staķis ļoti pozitīvi sevi parāda. Visi cepjās par stabiņiem,bet Ušaks tak apzaga pilsētu uz urrā! :D",1
mārtiņ kossovič staķ ļot lab mēr pild kopīg progresīv programm gandarījum skatām,"RT @PolitiskiCitati: Mārtiņš Kossovičs: ""Staķis ir ļoti labs mērs, viņš pilda kopīgo ""Progresīvo"" programmu, un mēs ar gandarījumu skatāmie…",1
mārtiņ kossovič staķ ļot lab mēr pild kopīg progresīv programm gandarījum skatāmi veic darb nra,"Mārtiņš Kossovičs: ""Staķis ir ļoti labs mērs, viņš pilda kopīgo ""Progresīvo"" programmu, un mēs ar gandarījumu skatāmies, kā viņam veicas darbos."" /NRA 25-03-2022/",1
okupācij pieminekl nojaukšan vienīg politisk jautājum rīt staķ kariņ teikt nojaukt biš biš naud vajag latvieš dien beig pār miljon ziedojum savākuš kalt āmur nākt palīg,"@Ivars_Motivans Okupācijas pieminekļa nojaukšana ir tikai un vienīgi politiskais jautājums. Ja rīt Staķis vai Kariņš teiktu - var nojaukt, tikai biš-biš naudu vajag, latvieši līdz dienas beigām pāris miljonus ziedojumu jau būtu savākuši. Vai paši ar saviem kaltiem un āmuriem nāktu palīgā.",1
izkāruš ukrain karog okupācij pieminekl plīv latvij karog pielikt klāt staļin režīm staķ slim ukrain vakar deportācij atzīmēj latvieš sibīrij izved daudz cietus latvieš nācij kāj sīkum apgānijuš,"Viņi  izkāruši Ukrainas karogu Okupācijas piemineklī,lai plīvo,Latvijas karogu arī var pielikt klāt.Staļina Režīms.Staķis https://t.co/bpQIKQLq6lņš slims ar Ukrainu.Vakar deportāciju atzīmēja.Latviešus uz Sibīriju izveda.Daudz cietusī latviešu nācija pie kājas,sīkums.Apgānijuši.",1
partij pamešan rīg mēr krēsl stabil atbalst sol līdzšinēj koalīcij frakcij,RT @ltvzinas: Arī pēc partijas pamešanas Rīgas mēra @MStakis krēsls ir stabils. Viņam atbalstu sola visas līdzšinējās koalīcijas frakcijas.…,1
var staķ teic gobz vienkārš atpisi,@jzigajev Vari arī kā Staķis teica Gobzim Vienkārši atpisies!,1
nevar staķ pierādīj varēšan rīdziniek lab,"@irts1 Nevar būt,Staķis esot jau pierādījis savu varēšanu rīdzinieku labā:)",1
situācij kutelìg kampan staķ mèrs zuzànpap naud,@MStakis @AttistibaiPar @attistibai Situācija kutelìga. Kampaņa Staķis-mèrs tomēr bija par Zuzànpapas naudu :),1
daudz saglabāt reklām klip rigvir ierunāj cien kalvin kung paš rigvir sāg vid prim tim kliedz staķ nepalīdz,"@barfyman_362 @SlavaVK @MStakis @AttistibaiPar @attistibai @KustibaPar Viņam jau nav daudz ko saglabāt - reklāmas klipu par rigvir ierunājis, “Es cienu jūs, Kalviņa kungs!” pašas rigvir sāgas vidū prime timā kliedzis. Staķis nepalīdzēs",1
partij pamešan rīg mēr krēsl stabil atbalst sol līdzšinēj koalīcij frakcij,RT @ltvzinas: Arī pēc partijas pamešanas Rīgas mēra @MStakis krēsls ir stabils. Viņam atbalstu sola visas līdzšinējās koalīcijas frakcijas.…,1
