tweet_cleaned,tweet,polarity
ukrain neesot pildījus minsk vienošan punkt lukašenk teic belovež sarun sākum vienošan punkt jāiekļauj rīkoti punkt neievērošan gadījum nh netic neizpild punkt jāuzsāk īst kar ieroc rok,"Ukraina neesot pildījusi Minskas vienošanās kādu tur punktu, tā Lukašenko teica Belovežas sarunu sākumā. Bet  vienošanās punktos taču jāiekļauj arī, kā rīkoties kāda punkta neievērošanas gadījumos. Nh neticu, ka ja neizpilda kādu punktu, tad jāuzsāk īsts karš ar ieročiem rokās!!!",1
aktier šon pen lielisk saprat nozīm krievij okupant iebrukum ukrain asv prezident,RT @breakinglv: Aktieris Šons Pens ir lieliski sapratis ko nozīmē #krievija okupantu iebrukums #Ukraina. ASV prezidents gan ne.,0
ukrain militār hospitāl kijiv strād olaf liberman mārtiņ malzubr tikāmi,"RT @ltvzinas: Ukrainā, militārajā hospitālī Kijivā strādā @MicrosurgeryLV – Olafs Libermanis un Mārtiņš Malzubris. Ar viņiem tikāmies, kad…",1
maij militār parād sarkan laukum kar lauk ukrain analizēj galven ieroc tank raķet ell,"RT @ltvzinas: 9. maija militārā parāde Sarkanajā laukumā, un kara lauks Ukrainā. Analizējam galvenos ieročus – tanki, raķetes un ir pat ell…",1
jakrin nekād nemulsin ušakov melīg rašistisk vēstījum svinēšan nevar notikt pieminekl dot,"RT @Apvaarsnis: Jakrinu turpretī nekādi nemulsina Ušakova melīgais, rašistiskais vēstījums: ""svinēšana nevar notikt, bet pie pieminekļa dot…",1
jakrin nekād nemulsin ušakov melīg rašistisk vēstījum svinēšan nevar notikt pieminekl dot,"RT @Apvaarsnis: Jakrinu turpretī nekādi nemulsina Ušakova melīgais, rašistiskais vēstījums: ""svinēšana nevar notikt, bet pie pieminekļa dot…",1
labrīt ukrain,RT @breakinglv: Labrīt #Ukraina! https://t.co/6X7E3SMlvT,1
izlūkdienest putin ukrain mēģin korej scenārij,Izlūkdienests: Putins Ukrainā mēģinās 'Korejas scenāriju'  https://t.co/o762I6mhtv,1
acīmredzot iekrituš kreml naratīv vec senil baiden vakardien run pierād pretēj būtisk žest vārd javelin saņem ukrain,"@mazputns @guntarsv @ugriinis @POTUS Acīmredzot, esat iekrituši uz kremļa ""naratīvu"" par veco un senilo Baidenu. Vakardienas runa pierāda pretējo. Būtisks NAV katrs žests un vārds, bet katrs Javelin, ko saņem Ukraina.",1
aizturēt boj gājuš krievij okupant doņeck apgabal ukrain,RT @breakinglv: Aizturētie un bojā gājušie #krievija okupanti #Doņecka apgabalā #Ukraina. https://t.co/qpzrhs2roj,0
